,batch_size,num_nodes,memory_size
0,32,1,1024
1,32,1,1024
2,32,1,1024
3,32,1,1024
4,32,1,1024
5,32,1,2048
6,32,1,2048
7,32,1,2048
8,32,1,2048
9,32,1,2048
10,32,4,1024
11,32,4,1024
12,32,4,1024
13,32,4,1024
14,32,4,1024
15,32,4,2048
16,32,4,2048
17,32,4,2048
18,32,4,2048
19,32,4,2048
20,128,1,1024
21,128,1,1024
22,128,1,1024
23,128,1,1024
24,128,1,1024
25,128,1,2048
26,128,1,2048
27,128,1,2048
28,128,1,2048
29,128,1,2048
30,128,4,1024
31,128,4,1024
32,128,4,1024
33,128,4,1024
34,128,4,1024
35,128,4,2048
36,128,4,2048
37,128,4,2048
38,128,4,2048
39,128,4,2048
40,512,1,1024
41,512,1,1024
42,512,1,1024
43,512,1,1024
44,512,1,1024
45,512,1,2048
46,512,1,2048
47,512,1,2048
48,512,1,2048
49,512,1,2048
50,512,4,1024
51,512,4,1024
52,512,4,1024
53,512,4,1024
54,512,4,1024
55,512,4,2048
56,512,4,2048
57,512,4,2048
58,512,4,2048
59,512,4,2048
60,32,2,1536
61,32,2,1536
62,32,2,1536
63,32,2,1536
64,32,2,1536
65,128,2,1536
66,128,2,1536
67,128,2,1536
68,128,2,1536
69,128,2,1536
70,512,2,1536
71,512,2,1536
72,512,2,1536
73,512,2,1536
74,512,2,1536
75,64,1,1536
76,64,1,1536
77,64,1,1536
78,64,1,1536
79,64,1,1536
80,64,4,1536
81,64,4,1536
82,64,4,1536
83,64,4,1536
84,64,4,1536
85,256,1,1536
86,256,1,1536
87,256,1,1536
88,256,1,1536
89,256,1,1536
90,256,4,1536
91,256,4,1536
92,256,4,1536
93,256,4,1536
94,256,4,1536
95,1024,1,1536
96,1024,1,1536
97,1024,1,1536
98,1024,1,1536
99,1024,1,1536
100,1024,4,1536
101,1024,4,1536
102,1024,4,1536
103,1024,4,1536
104,1024,4,1536
105,64,2,1024
106,64,2,1024
107,64,2,1024
108,64,2,1024
109,64,2,1024
110,64,2,2048
111,64,2,2048
112,64,2,2048
113,64,2,2048
114,64,2,2048
115,256,2,1024
116,256,2,1024
117,256,2,1024
118,256,2,1024
119,256,2,1024
120,256,2,2048
121,256,2,2048
122,256,2,2048
123,256,2,2048
124,256,2,2048
125,1024,2,1024
126,1024,2,1024
127,1024,2,1024
128,1024,2,1024
129,1024,2,1024
130,1024,2,2048
131,1024,2,2048
132,1024,2,2048
133,1024,2,2048
134,1024,2,2048
